,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent,Date Outbreak Began,Date Declared Over,Outbreak Status,Longitude,Latitude
0,Extendicare Rouge Valley,551 Conlins Rd,LTCH,Respiratory,Influenza A,2016-12-31,2017-01-20,Inactive,-79.1894286,43.8029937
1,Michael Garron Hospital - H6,825 Coxwell Ave,Hospital-Acute Care,Enteric,Norovirus-like,2016-12-30,2017-01-04,Inactive,-79.3236782,43.6896572
2,Bendale Acres - 3rd Fl,2920 Lawrence Ave E,LTCH,Respiratory,Respiratory syncytial virus,2016-12-30,2017-01-13,Inactive,-79.2516534,43.7543919
3,Chester Village - 3rd Fl - Ruby & 4th Fl - Emerald,3555 Danforth Ave,LTCH,Respiratory,Metapneumovirus,2016-12-30,2017-01-20,Inactive,-79.27409672758621,43.69413068275862
4,Amica At Bayview Gardens,19 Rean Dr,Retirement Home,Respiratory,Influenza A,2016-12-30,2017-01-20,Inactive,-79.38257754978882,43.76690666292305
5,Bethsheda Home,67 Belgreen Ave,Retirement Home,Respiratory,Influenza A,2016-12-30,2017-01-12,Inactive,-79.2904608,43.7953215
6,Seniors' Health Centre - 1st Fl,2 Buchan Crt,Retirement Home,Enteric,Unable to identify,2016-12-30,2017-01-04,Inactive,-79.35998,43.772849
7,Seniors Health Centre - 1st Fl,2 Buchan Crt,LTCH,Respiratory,Influenza A,2016-12-30,2017-01-25,Inactive,-79.35998,43.772849
8,Cedarvale Terrace,429 Walmer Rd,LTCH,Respiratory,Respiratory syncytial virus,2016-12-30,2017-01-13,Inactive,-79.412483,43.685423
9,Bridgepoint Active Healthcare - 6 South & 7 North,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,Influenza A,2016-12-29,2017-01-11,Inactive,-79.3554469,43.6658608
10,Providence Healthcare - A3 South & North Wing,3276 St Clair Ave E,Hospital-Chronic Care,Respiratory,Influenza A,2016-12-29,2017-01-09,Inactive,-79.2861565,43.7135926
11,West Park Healthcare Centre - 2EC,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,2016-12-29,2017-01-02,Inactive,-79.5098225,43.687805
12,Sunnybrook Health Sciences Centre - K2C & K2W,2075 Bayview Ave,LTCH,Respiratory,Influenza A,2016-12-29,2017-01-11,Inactive,-79.3792695,43.7235801
13,The Westbury - 8th Fl,495 The West Mall,LTCH,Respiratory,Coronavirus,2016-12-29,2017-01-11,Inactive,-79.567866,43.648303
