_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active
1,Sinai Health System - Hennick Bridgepoint - 4 South,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,COVID-19,,2023-11-29,,Y
2,Sunnybrook Health Sciences Centre - St. John's Rehab - A3,285 Cummer Ave,Hospital-Chronic Care,Respiratory,COVID-19,,2023-11-29,,Y
3,Mackenzie Health - RCC - 4 East & 4 West,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,COVID-19,,2023-11-27,,Y
4,Mon Sheong Home for the Aged - 4th Fl,36 D'Arcy St,LTCH,Respiratory,Pending,,2023-11-27,,Y
5,Runnymede Healthcare Centre - 2 East,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,COVID-19,,2023-11-27,,Y
6,Sinai Health System - Hennick Bridgepoint - 3 North,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,COVID-19,,2023-11-27,,Y
7,The Dunfield Retirement Residence - 4th Fl (Memory Care Unit),77 Dunfield Ave,Retirement Home,Respiratory,COVID-19,,2023-11-27,,Y
8,The Kensington Gardens - 3 East,25 Brunswick Ave,LTCH,Respiratory,COVID-19,,2023-11-27,,Y
9,Toronto East Health Network - AHF - 2E,500 Kingston Rd,Hospital-Chronic Care,Respiratory,COVID-19,,2023-11-27,,Y
10,University Health Network - Toronto General - 5MB,200 Elizabeth St,Hospital-Acute Care,Respiratory,COVID-19,,2023-11-27,,Y
11,Baycrest Apotex Centre - Jewish Home for the Aged - 3GS,3560 Bathurst St,LTCH,Respiratory,Influenza A (Not subtyped),,2023-11-26,,Y
12,St. George Care Community - 5th Fl,225 St. George St,LTCH,Respiratory,COVID-19,,2023-11-26,,Y
13,Sunnybrook Health Sciences Centre - St. John's Rehab - A1,285 Cummer Ave,Hospital-Chronic Care,Respiratory,COVID-19,,2023-11-26,,Y
14,UHN - Toronto Rehabilitation Institute - Bickel Centre - 8 South,550 University Ave,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),,2023-11-26,,Y
15,Baycrest Hospital - North York - H3E,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,,2023-11-25,,Y
16,Cheltenham Care Community - 3rd Fl (North),5935 Bathurst St,LTCH,Respiratory,COVID-19,,2023-11-25,,Y
17,Baycrest Hospital - North York - H5E,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,,2023-11-24,,Y
18,Baycrest Hospital - North York - H7E,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,,2023-11-24,,Y
19,Baycrest Hospital - North York - H7W,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,,2023-11-24,,Y
20,Castleview Wychwood Towers - 2nd Fl,351 Christie St,LTCH,Respiratory,COVID-19,,2023-11-24,,Y
21,Greenview Lodge,880 Lawrence Avenue,Retirement Home,Respiratory,COVID-19,,2023-11-24,,Y
22,Kipling Acres - 1st Fl (Humber) & 2nd Fl (Elms),2233 Kipling Ave,LTCH,Respiratory,COVID-19,,2023-11-24,,Y
23,Lakeside Long Term Care Centre - 1st Fl,150 Dunn Ave,LTCH,Respiratory,COVID-19,,2023-11-24,,Y
24,Lakeside Long Term Care Centre - 2nd Fl,150 Dunn Ave,LTCH,Respiratory,Pending,,2023-11-24,,Y
25,Mon Sheong Home for the Aged - 4 Fl,36 D'Arcy St,LTCH,Respiratory,COVID-19,,2023-11-24,,Y
26,New Horizons Tower - 4th Fl,1140 Bloor St W,LTCH,Respiratory,Coronavirus*,,2023-11-24,,Y
27,Sunnybrook Health Sciences Centre - Sunnybrook Veterans Centre - LTSW,2075 Bayview Ave,LTCH,Respiratory,COVID-19,,2023-11-24,,Y
28,Toronto East Health Network - AHF - Atrium at Kew Beach - 3rd Fl East Wing,500 Kingston Rd,Hospital-Chronic Care,Respiratory,COVID-19,,2023-11-24,,Y
29,Unity Health Toronto - St. Michael's - 14CG,30 Bond St,Hospital-Acute Care,Respiratory,COVID-19,,2023-11-24,,Y
30,Harold and Grace Baker Centre - 1A,1 Northwestern Ave,LTCH,Respiratory,Pending,,2023-11-23,,Y
31,Mon Sheong Scarborough Long Term Care Centre - 2nd Fl South,2030 Mcnicoll Ave,Retirement Home,Respiratory,COVID-19,,2023-11-23,,Y
32,Tony Stacey Centre for Veterans' Care - 2nd Fl,59 Lawson Rd,LTCH,Respiratory,COVID-19,,2023-11-23,,Y
33,Toronto East Health Network - Michael Garron Hospital - B3,825 Coxwell Ave,Hospital-Acute Care,Respiratory,COVID-19,,2023-11-23,,Y
34,Baycrest Hospital - H6E,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,,2023-11-22,,Y
35,Extendicare Bayview - 1st Fl,550 Cummer Ave,LTCH,Respiratory,Respiratory syncytial virus,,2023-11-22,,Y
36,Unity Health Toronto - St. Joseph's - 4M,30 The Queensway,Hospital-Acute Care,Respiratory,COVID-19,,2023-11-22,2023-11-28,N
37,University Health Network - 5 South,550 University Ave,Hospital-Chronic Care,Respiratory,COVID-19,,2023-11-22,,Y
38,Amica On The Avenue,1066 Avenue Rd,Retirement Home,Enteric,Unable to identify,,2023-11-21,2023-11-27,N
39,Cedarvale Terrace - 4th Fl,429 Walmer Rd,LTCH,Respiratory,COVID-19,,2023-11-21,,Y
40,Cummer Lodge - 1st (SCU) Fl,205 Cummer Ave,LTCH,Respiratory,COVID-19,,2023-11-21,,Y
41,Southlake Regional Health Centre - RCC Finch - 5 East,2111 Finch Ave W,Hospital-Chronic Care,Respiratory,COVID-19,,2023-11-21,,Y
42,The Millwood,921 Millwood Rd,Retirement Home,Respiratory,COVID-19,,2023-11-21,,Y
43,Unity Health Toronto - Providence - D3,3276 St. Clair Ave East,Hospital-Chronic Care,Respiratory,COVID-19,,2023-11-21,2023-11-29,N
