,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent,Date Outbreak Began,Date Declared Over,Outbreak Status,Longitude,Latitude,Outbreak Year,Outbreak Month,Outbreak Season
0,Extendicare Rouge Valley,551 Conlins Rd,LTCH,Respiratory,Influenza A,2016-12-31,2017-01-20,Inactive,-79.1894286,43.8029937,2016,December,Winter
1,Michael Garron Hospital - H6,825 Coxwell Ave,Hospital-Acute Care,Enteric,Norovirus-like,2016-12-30,2017-01-04,Inactive,-79.3236782,43.6896572,2016,December,Winter
2,Bendale Acres - 3rd Fl,2920 Lawrence Ave E,LTCH,Respiratory,Respiratory syncytial virus,2016-12-30,2017-01-13,Inactive,-79.2516534,43.7543919,2016,December,Winter
3,Chester Village - 3rd Fl - Ruby & 4th Fl - Emerald,3555 Danforth Ave,LTCH,Respiratory,Metapneumovirus,2016-12-30,2017-01-20,Inactive,-79.27409672758621,43.69413068275862,2016,December,Winter
4,Amica At Bayview Gardens,19 Rean Dr,Retirement Home,Respiratory,Influenza A,2016-12-30,2017-01-20,Inactive,-79.38257754978882,43.76690666292305,2016,December,Winter
5,Bethsheda Home,67 Belgreen Ave,Retirement Home,Respiratory,Influenza A,2016-12-30,2017-01-12,Inactive,-79.2904608,43.7953215,2016,December,Winter
6,Seniors' Health Centre - 1st Fl,2 Buchan Crt,Retirement Home,Enteric,Unable to identify,2016-12-30,2017-01-04,Inactive,-79.35998,43.772849,2016,December,Winter
7,Seniors Health Centre - 1st Fl,2 Buchan Crt,LTCH,Respiratory,Influenza A,2016-12-30,2017-01-25,Inactive,-79.35998,43.772849,2016,December,Winter
8,Cedarvale Terrace,429 Walmer Rd,LTCH,Respiratory,Respiratory syncytial virus,2016-12-30,2017-01-13,Inactive,-79.412483,43.685423,2016,December,Winter
9,Bridgepoint Active Healthcare - 6 South & 7 North,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,Influenza A,2016-12-29,2017-01-11,Inactive,-79.3554469,43.6658608,2016,December,Winter
10,Providence Healthcare - A3 South & North Wing,3276 St Clair Ave E,Hospital-Chronic Care,Respiratory,Influenza A,2016-12-29,2017-01-09,Inactive,-79.2861565,43.7135926,2016,December,Winter
11,West Park Healthcare Centre - 2EC,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,2016-12-29,2017-01-02,Inactive,-79.5098225,43.687805,2016,December,Winter
12,Sunnybrook Health Sciences Centre - K2C & K2W,2075 Bayview Ave,LTCH,Respiratory,Influenza A,2016-12-29,2017-01-11,Inactive,-79.3792695,43.7235801,2016,December,Winter
13,The Westbury - 8th Fl,495 The West Mall,LTCH,Respiratory,Coronavirus,2016-12-29,2017-01-11,Inactive,-79.567866,43.648303,2016,December,Winter
14,Ina Grafton Gage Home,40 Bell Estate Rd,LTCH,Respiratory,Coronavirus,2016-12-29,2017-01-09,Inactive,-79.2753435,43.7058073,2016,December,Winter
15,Midland Gardens Care Community,130 Midland Ave,LTCH,Respiratory,Respiratory syncytial virus,2016-12-29,2017-01-19,Inactive,-79.2469846,43.7077593,2016,December,Winter
16,St. Joseph's Health Centre - 4E,30 The Queensway,Hospital-Acute Care,Respiratory,Respiratory syncytial virus,2016-12-28,2017-01-04,Inactive,-79.450101,43.639359,2016,December,Winter
17,The Heritage Nursing Home,1195 Queen St E,LTCH,Respiratory,Influenza A,2016-12-28,2017-01-09,Inactive,-79.3316241,43.66280613333333,2016,December,Winter
18,The Wexford Residence,1860 Lawrence Ave E,LTCH,Respiratory,Influenza A,2016-12-28,2017-01-11,Inactive,-79.3024148,43.7438388,2016,December,Winter
19,Chartwell Gibson Retirement Residence,1955 Steeles Ave E,Retirement Home,Respiratory,Influenza A,2016-12-28,2017-01-13,Inactive,-79.3726983,43.8083147,2016,December,Winter
20,Delmanor Northtown,5351 Yonge St,Retirement Home,Respiratory,Respiratory syncytial virus,2016-12-28,2017-01-23,Inactive,-79.4142461,43.7752997,2016,December,Winter
21,Better Living at Thompson House,1 Overland Dr,LTCH,Respiratory,Influenza A,2016-12-28,2017-01-10,Inactive,-79.347342,43.732464,2016,December,Winter
22,St. Joseph's Health Centre - 6M,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A,2016-12-27,2017-01-09,Inactive,-79.450101,43.639359,2016,December,Winter
23,Suomi-Koti Toronto Nursing Home - 7th Fl,795 Eglinton Ave E,LTCH,Respiratory,Influenza A,2016-12-27,2017-01-06,Inactive,-79.3669906,43.7129848,2016,December,Winter
24,Bendale Acres - Unit 3,2920 Lawrence Ave E,LTCH,Enteric,Unable to identify,2016-12-26,2017-01-07,Inactive,-79.2516534,43.7543919,2016,December,Winter
25,St. Bernard's Residence,685 Finch Ave W,Retirement Home,Respiratory,Influenza A,2016-12-24,2017-01-10,Inactive,-79.4561852,43.7709198,2016,December,Winter
26,Westside,1145 Albion Rd,LTCH,Respiratory,Influenza A,2016-12-24,2017-01-19,Inactive,-79.5667899,43.7373503,2016,December,Winter
27,St. Michael's Hospital - 6 Bond,30 Bond St,Hospital-Acute Care,Respiratory,Influenza A,2016-12-23,2016-12-30,Inactive,-79.3784327,43.6542289,2016,December,Winter
28,McCall Centre For Continuing Care - 2nd & 4th Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Influenza A,2016-12-23,2017-01-07,Inactive,-79.562235,43.610033,2016,December,Winter
29,True Davidson Acres - 2nd  Fl,200 Dawes Rd,LTCH,Enteric,Unable to identify,2016-12-23,2016-12-28,Inactive,-79.298175,43.69582,2016,December,Winter
30,Delmanor Prince Edward - 2nd Fl,4180 Dundas St W,Retirement Home,Respiratory,Influenza A,2016-12-23,2017-01-04,Inactive,-79.50993406250001,43.6609728625,2016,December,Winter
31,Rose Of Sharon Korean Long Term Care Home,17 Maplewood Ave,LTCH,Respiratory,Metapneumovirus,2016-12-22,2017-01-07,Inactive,-79.4217949,43.6858942,2016,December,Winter
32,North York General Hospital - 5 SE,4001 Leslie St,Hospital-Acute Care,Respiratory,Influenza A,2016-12-21,2016-12-29,Inactive,-79.362213,43.7699003,2016,December,Winter
33,Forest Hill Place,645 Castlefield Ave,Retirement Home,Enteric,Unable to identify,2016-12-21,2017-01-03,Inactive,-79.4247813,43.7065006,2016,December,Winter
34,Greenview Lodge,880 Lawrence Ave E,Retirement Home,Respiratory,Respiratory syncytial virus,2016-12-21,2017-01-05,Inactive,-79.3489587,43.7361257,2016,December,Winter
35,West Park Healthcare Centre - 3WF,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,2016-12-19,2016-12-23,Inactive,-79.5098225,43.687805,2016,December,Winter
36,Centennial Park Place,25 Centennial Park Rd,Retirement Home,Respiratory,Influenza A,2016-12-19,2016-12-27,Inactive,-79.5826865,43.6537573,2016,December,Winter
37,Scarborough Retirement Residence,148 Markham Rd,Retirement Home,Enteric,Norovirus-like,2016-12-19,2017-01-23,Inactive,-79.2180677,43.7407432,2016,December,Winter
38,Baycrest Centre For Geriatric Care - 3E,3560 Bathurst St,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,2016-12-16,2016-12-26,Inactive,-79.4361036,43.7292745,2016,December,Winter
39,West Park Healthcare Centre - 3WD,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,2016-12-16,2017-01-04,Inactive,-79.5098225,43.687805,2016,December,Winter
40,Mon Sheong Scarborough Long Term Care Centre - 2nd Fl,2030 McNicoll Ave,LTCH,Respiratory,Influenza A,2016-12-16,2017-01-15,Inactive,-79.2994857,43.8128599,2016,December,Winter
41,Cummer Lodge - 2 North,205 Cummer Ave,LTCH,Respiratory,Coronavirus,2016-12-15,2016-12-24,Inactive,-79.40816758965518,43.78889555517242,2016,December,Winter
42,St. John's Rehabilitation Hospital - A4,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,2016-12-14,2016-12-30,Inactive,-79.40424676206896,43.789755968965515,2016,December,Winter
43,Toronto General Hospital - 14ES,200 Elizabeth St,Hospital-Acute Care,Respiratory,Influenza A,2016-12-13,2016-12-23,Inactive,-79.3869528,43.6583672,2016,December,Winter
44,Extendicare Craiglee - 1st & 2nd Fl,102 Craiglee Dr,LTCH,Respiratory,Metapneumovirus,2016-12-13,2016-12-24,Inactive,-79.2528019,43.7067792,2016,December,Winter
45,Kingsway Retirement Residence - 2nd Fl - Memory Care,4251 Dundas St W,Retirement Home,Respiratory,Rhinovirus,2016-12-11,2016-12-20,Inactive,-79.513986,43.6591255,2016,December,Winter
46,Ina Grafton Gage Home - 2nd Fl,40 Bell Estate Rd,LTCH,Respiratory,Unable to identify,2016-12-09,2016-12-19,Inactive,-79.2753435,43.7058073,2016,December,Winter
47,Christie Gardens,600 Melita Cres,Retirement Home,Respiratory,Influenza A,2016-12-08,2016-12-19,Inactive,-79.4229698,43.6725542,2016,December,Winter
48,Kensington Place Retirement Residence - 6th Fl,866 Sheppard Ave W,Retirement Home,Respiratory,Parainfluenza,2016-12-07,2016-12-25,Inactive,-79.45390335882352,43.75240336470589,2016,December,Winter
49,Sienna Altamont Care Community,92 Island Rd,LTCH,Respiratory,Respiratory syncytial virus,2016-12-06,2016-12-22,Inactive,-79.13997840570175,43.7988385,2016,December,Winter
50,Castleview Wychwood Towers - 7C,351 Christie St,LTCH,Enteric,Unable to identify,2016-12-04,2016-12-11,Inactive,-79.42113793274277,43.673349,2016,December,Winter
51,Kensington Gardens - 3 West,45 Brunswick Ave,LTCH,Respiratory,Respiratory syncytial virus,2016-12-02,2016-12-14,Inactive,-79.404305,43.658784,2016,December,Winter
52,Kipling Acres - 1 West,2233 Kipling Ave,LTCH,Enteric,Norovirus-like,2016-12-02,2016-12-09,Inactive,-79.571631,43.725014,2016,December,Winter
53,West Park Healthcare Centre - Glenwyld & Raymore,82 Buttonwood Ave,LTCH,Respiratory,Respiratory syncytial virus,2016-12-02,2016-12-16,Inactive,-79.5098225,43.687805,2016,December,Winter
54,St. John's Rehabilitation Hospital - A1,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Enterovirus/Rhinovirus,2016-11-29,2016-12-16,Inactive,-79.40424676206896,43.789755968965515,2016,November,Fall
55,Eatonville Care Centre,420 The East Mall,LTCH,Respiratory,Influenza A,2016-11-29,2016-12-14,Inactive,-79.560686,43.64745,2016,November,Fall
56,The O'Neill Centre - 4th Fl,33 Christie St,LTCH,Respiratory,Respiratory syncytial virus,2016-11-29,2016-12-19,Inactive,-79.4186528,43.6647391,2016,November,Fall
57,Baycrest Apotex Centre - 5EI,3560 Bathurst St,LTCH,Respiratory,Influenza A,2016-11-28,2016-12-08,Inactive,-79.4361036,43.7292745,2016,November,Fall
58,Sunnybrook Health Sciences Centre - LGSE,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2016-11-28,2016-12-05,Inactive,-79.3792695,43.7235801,2016,November,Fall
59,Chartwell Gibson Retirement Residence,1955 Steeles Ave E,Retirement Home,Enteric,Unable to identify,2016-11-27,2016-12-06,Inactive,-79.3726983,43.8083147,2016,November,Fall
60,North Park Nursing Home,450 Rustic Rd,LTCH,Respiratory,Rhinovirus,2016-11-26,2016-12-26,Inactive,-79.48187197868482,43.71729432043269,2016,November,Fall
61,Extendicare Craiglee,102 Craiglee Dr,LTCH,Respiratory,Rhinovirus,2016-11-24,2016-12-11,Inactive,-79.2528019,43.7067792,2016,November,Fall
62,Humber Valley Terrace,95 Humber College Blvd,LTCH,Enteric,Norovirus-like,2016-11-23,2016-12-12,Inactive,-79.5994248,43.7307129,2016,November,Fall
63,St. John's Rehabilitation Hospital - A3,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Influenza A,2016-11-18,2016-11-25,Inactive,-79.40424676206896,43.789755968965515,2016,November,Fall
64,Ehatare Nursing Home,40 Old Kingston Rd,LTCH,Respiratory,Rhinovirus,2016-11-18,2016-12-05,Inactive,-79.1825648,43.7754026,2016,November,Fall
65,Main Street Terrace,77 Main St,LTCH,Enteric,Unable to identify,2016-11-18,2016-11-30,Inactive,-79.29894248888888,43.681406233333334,2016,November,Fall
66,Michael Garron Hospital - F3,825 Coxwell Ave,Hospital-Acute Care,Enteric,Norovirus-like,2016-11-13,2016-11-22,Inactive,-79.3236782,43.6896572,2016,November,Fall
67,St. Joseph's Health Centre - 6G,30 The Queensway,Hospital-Acute Care,Respiratory,Respiratory syncytial virus,2016-11-12,2016-12-04,Inactive,-79.450101,43.639359,2016,November,Fall
68,The Salvation Army Toronto Grace Health Centre - Unit 2,47 Austin Terr,Hospital-Chronic Care,Enteric,Clostridium difficile,2016-11-09,2016-12-13,Inactive,-79.415943,43.678115,2016,November,Fall
69,St Clair O'Connor Nursing Home,2701 St Clair Ave E,LTCH,Enteric,Norovirus-like,2016-11-09,2016-11-18,Inactive,-79.3117512,43.7055002,2016,November,Fall
70,Fudger House - 2E,439 Sherbourne St,LTCH,Enteric,Unable to identify,2016-11-01,2016-11-06,Inactive,-79.373735,43.666208,2016,November,Fall
71,Gibson Long Term Care Centre - Unit 4,1925 Steeles Ave E,LTCH,Respiratory,Influenza A,2016-11-01,2016-11-15,Inactive,-79.3758609,43.807618,2016,November,Fall
72,West Park Healthcare Centre - 2WF,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Rhinovirus,2016-10-26,2016-11-04,Inactive,-79.5098225,43.687805,2016,October,Fall
73,Sunnybrook Health Sciences Centre - LSSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2016-10-20,2016-10-28,Inactive,-79.3792695,43.7235801,2016,October,Fall
74,Gibson Retirement Residence,1955 Steeles Ave E,Retirement Home,Respiratory,Rhinovirus,2016-10-20,2016-11-03,Inactive,-79.3726983,43.8083147,2016,October,Fall
75,The O'Neill Centre,33 Christie St,LTCH,Respiratory,Rhinovirus,2016-10-17,2016-11-07,Inactive,-79.4186528,43.6647391,2016,October,Fall
76,Drs. Paul & John Rekai Centre - 2nd Fl,345 Sherbourne St,LTCH,Respiratory,Rhinovirus,2016-10-16,2016-10-27,Inactive,-79.37243630597754,43.662702249999995,2016,October,Fall
77,Thompson House - 2nd & 3rd Fl,1 Overland Dr,LTCH,Respiratory,Rhinovirus,2016-10-13,2016-11-03,Inactive,-79.347342,43.732464,2016,October,Fall
78,Canterbury Place Retirement Residence,1 Canterbury Pl,Retirement Home,Respiratory,Rhinovirus,2016-10-12,2016-10-24,Inactive,-79.4141725,43.7719895,2016,October,Fall
79,Cedarhurst Home - 1st Fl,2601 Bayview Ave,Retirement Home,Respiratory,Rhinovirus,2016-10-12,2016-10-21,Inactive,-79.3845412,43.7508959,2016,October,Fall
80,Bethseda Home - Belgreen,67 Belgreen Ave,Retirement Home,Respiratory,Rhinovirus,2016-10-11,2016-10-18,Inactive,-79.2904608,43.7953215,2016,October,Fall
81,Gibson Long Term Care Centre - Unit 3,1925 Steeles Ave E,LTCH,Respiratory,Rhinovirus,2016-10-08,2016-11-08,Inactive,-79.3758609,43.807618,2016,October,Fall
