,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent,Date Outbreak Began,Date Declared Over,Outbreak Status
0,Extendicare Rouge Valley,551 Conlins Rd,LTCH,Respiratory,Influenza A,2016-12-31,2017-01-20,Inactive
1,Michael Garron Hospital - H6,825 Coxwell Ave,Hospital-Acute Care,Enteric,Norovirus-like,2016-12-30,2017-01-04,Inactive
2,Bendale Acres - 3rd Fl,2920 Lawrence Ave E,LTCH,Respiratory,Respiratory syncytial virus,2016-12-30,2017-01-13,Inactive
3,Chester Village - 3rd Fl - Ruby & 4th Fl - Emerald,3555 Danforth Ave,LTCH,Respiratory,Metapneumovirus,2016-12-30,2017-01-20,Inactive
4,Amica At Bayview Gardens,19 Rean Dr,Retirement Home,Respiratory,Influenza A,2016-12-30,2017-01-20,Inactive
5,Bethsheda Home,67 Belgreen Ave,Retirement Home,Respiratory,Influenza A,2016-12-30,2017-01-12,Inactive
6,Seniors' Health Centre - 1st Fl,2 Buchan Crt,Retirement Home,Enteric,Unable to identify,2016-12-30,2017-01-04,Inactive
7,Seniors Health Centre - 1st Fl,2 Buchan Crt,LTCH,Respiratory,Influenza A,2016-12-30,2017-01-25,Inactive
8,Cedarvale Terrace,429 Walmer Rd,LTCH,Respiratory,Respiratory syncytial virus,2016-12-30,2017-01-13,Inactive
9,Bridgepoint Active Healthcare - 6 South & 7 North,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,Influenza A,2016-12-29,2017-01-11,Inactive
10,Providence Healthcare - A3 South & North Wing,3276 St Clair Ave E,Hospital-Chronic Care,Respiratory,Influenza A,2016-12-29,2017-01-09,Inactive
11,West Park Healthcare Centre - 2EC,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,2016-12-29,2017-01-02,Inactive
12,Sunnybrook Health Sciences Centre - K2C & K2W,2075 Bayview Ave,LTCH,Respiratory,Influenza A,2016-12-29,2017-01-11,Inactive
13,The Westbury - 8th Fl,495 The West Mall,LTCH,Respiratory,Coronavirus,2016-12-29,2017-01-11,Inactive
14,Ina Grafton Gage Home,40 Bell Estate Rd,LTCH,Respiratory,Coronavirus,2016-12-29,2017-01-09,Inactive
15,Midland Gardens Care Community,130 Midland Ave,LTCH,Respiratory,Respiratory syncytial virus,2016-12-29,2017-01-19,Inactive
16,St. Joseph's Health Centre - 4E,30 The Queensway,Hospital-Acute Care,Respiratory,Respiratory syncytial virus,2016-12-28,2017-01-04,Inactive
17,The Heritage Nursing Home,1195 Queen St E,LTCH,Respiratory,Influenza A,2016-12-28,2017-01-09,Inactive
18,The Wexford Residence,1860 Lawrence Ave E,LTCH,Respiratory,Influenza A,2016-12-28,2017-01-11,Inactive
19,Chartwell Gibson Retirement Residence,1955 Steeles Ave E,Retirement Home,Respiratory,Influenza A,2016-12-28,2017-01-13,Inactive
20,Delmanor Northtown,5351 Yonge St,Retirement Home,Respiratory,Respiratory syncytial virus,2016-12-28,2017-01-23,Inactive
21,Better Living at Thompson House,1 Overland Dr,LTCH,Respiratory,Influenza A,2016-12-28,2017-01-10,Inactive
22,St. Joseph's Health Centre - 6M,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A,2016-12-27,2017-01-09,Inactive
23,Suomi-Koti Toronto Nursing Home - 7th Fl,795 Eglinton Ave E,LTCH,Respiratory,Influenza A,2016-12-27,2017-01-06,Inactive
24,Bendale Acres - Unit 3,2920 Lawrence Ave E,LTCH,Enteric,Unable to identify,2016-12-26,2017-01-07,Inactive
25,St. Bernard's Residence,685 Finch Ave W,Retirement Home,Respiratory,Influenza A,2016-12-24,2017-01-10,Inactive
26,Westside,1145 Albion Rd,LTCH,Respiratory,Influenza A,2016-12-24,2017-01-19,Inactive
27,St. Michael's Hospital - 6 Bond,30 Bond St,Hospital-Acute Care,Respiratory,Influenza A,2016-12-23,2016-12-30,Inactive
28,McCall Centre For Continuing Care - 2nd & 4th Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Influenza A,2016-12-23,2017-01-07,Inactive
29,True Davidson Acres - 2nd  Fl,200 Dawes Rd,LTCH,Enteric,Unable to identify,2016-12-23,2016-12-28,Inactive
30,Delmanor Prince Edward - 2nd Fl,4180 Dundas St W,Retirement Home,Respiratory,Influenza A,2016-12-23,2017-01-04,Inactive
31,Rose Of Sharon Korean Long Term Care Home,17 Maplewood Ave,LTCH,Respiratory,Metapneumovirus,2016-12-22,2017-01-07,Inactive
